"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBuffer.kd",0,0,0,49476,49503,65536,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237682158179,429237682190106,429237682198426,429237682209466,8320
1,"__amd_rocclr_fillBuffer.kd",0,0,2,49476,49503,65536,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237682224645,429237683760260,429237683767140,429237683771479,6880
2,"__amd_rocclr_fillBuffer.kd",0,0,4,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237683790185,429237683800417,429237683803457,429237683807417,3040
3,"__amd_rocclr_fillBuffer.kd",0,0,7,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237683858825,429237683868065,429237683870945,429237683874945,2880
4,"__amd_rocclr_fillBuffer.kd",0,0,10,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237683901946,429237683911327,429237683914367,429237683918117,3040
5,"__amd_rocclr_fillBuffer.kd",0,0,13,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237683997206,429237684007077,429237684009797,429237684013577,2720
6,"__amd_rocclr_fillBuffer.kd",0,0,16,49476,49503,409344,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237788652234,429237788665223,429237788674183,429237788678173,8960
7,"__amd_rocclr_fillBuffer.kd",0,0,18,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237832955818,429237833061399,429237833067479,429237833072359,6080
8,"__amd_rocclr_fillBuffer.kd",0,0,19,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237832963733,429237833074628,429237833077828,429237833082077,3200
9,"__amd_rocclr_fillBuffer.kd",0,0,21,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237833102295,429237833113892,429237833117892,429237833121682,4000
10,"__amd_rocclr_fillBuffer.kd",0,0,22,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237833108106,429237833121798,429237833124998,429237833129878,3200
11,"__amd_rocclr_fillBuffer.kd",0,0,24,49476,49503,27902976,256,0,0,8,32,6528,0x0,0x7efcbf684140,429237833236660,429237833249068,429237833517387,429237833531707,268319
12,"__amd_rocclr_fillBuffer.kd",0,0,26,49476,49503,65536000,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238050780060,429238050816632,429238051443510,429238051457300,626878
13,"__amd_rocclr_fillBuffer.kd",0,0,28,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051493198,429238051503991,429238051507031,429238051510811,3040
14,"__amd_rocclr_fillBuffer.kd",0,0,30,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051524797,429238051535342,429238051539342,429238051543082,4000
15,"__amd_rocclr_fillBuffer.kd",0,0,31,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051530118,429238051543336,429238051546376,429238051555966,3040
16,"__amd_rocclr_fillBuffer.kd",0,0,33,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051565164,429238051575878,429238051579558,429238051583308,3680
17,"__amd_rocclr_fillBuffer.kd",0,0,34,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051570474,429238051583463,429238051586663,429238051591363,3200
18,"__amd_rocclr_fillBuffer.kd",0,0,36,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051605620,429238051615813,429238051619013,429238051622753,3200
19,"__amd_rocclr_fillBuffer.kd",0,0,38,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051636448,429238051647182,429238051650382,429238051654152,3200
20,"__amd_rocclr_fillBuffer.kd",0,0,40,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051667647,429238051677772,429238051681932,429238051685681,4160
21,"__amd_rocclr_fillBuffer.kd",0,0,41,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051672326,429238051685827,429238051688707,429238051693567,2880
22,"__amd_rocclr_fillBuffer.kd",0,0,43,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051707293,429238051717406,429238051721246,429238051724996,3840
23,"__amd_rocclr_fillBuffer.kd",0,0,44,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051712031,429238051725031,429238051728231,429238051732931,3200
24,"__amd_rocclr_fillBuffer.kd",0,0,46,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051745986,429238051756759,429238051759799,429238051763539,3040
25,"__amd_rocclr_fillBuffer.kd",0,0,48,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051776343,429238051786986,429238051790186,429238051793926,3200
26,"__amd_rocclr_fillBuffer.kd",0,0,50,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051806861,429238051817535,429238051821375,429238051824975,3840
27,"__amd_rocclr_fillBuffer.kd",0,0,51,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051812161,429238051825050,429238051827930,429238051832950,2880
28,"__amd_rocclr_fillBuffer.kd",0,0,53,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051845904,429238051856939,429238051860459,429238051864199,3520
29,"__amd_rocclr_fillBuffer.kd",0,0,54,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051851525,429238051864168,429238051867368,429238051873837,3200
30,"__amd_rocclr_fillBuffer.kd",0,0,56,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051885489,429238051895482,429238051898682,429238051902431,3200
